network,algorithm,budget,attack_type,attack_intensity,run_id,net_nodes,net_edges,net_density,net_max_core,net_clustering,edges_added,followers_gained,nodes_removed_orig,nodes_removed_reinf,orig_core_resilience,orig_core_damage,reinf_core_resilience,reinf_core_damage,core_improvement,resilience_improvement,efficiency
karate_club,MRKC,5,kcore,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,kcore,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,0.75,1,1.0,0,1,0.25,0.2
karate_club,MRKC,5,betweenness,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,0.75,1,1.0,0,1,0.25,0.2
karate_club,MRKC,5,betweenness,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,0.75,1,1.0,0,1,0.25,0.2
karate_club,MRKC,5,betweenness,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,betweenness,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,random,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,random,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,random,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,random,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,random,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,FastCM+,5,degree,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,degree,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,degree,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,degree,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,degree,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,degree,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,degree,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,degree,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,degree,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,degree,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,degree,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,degree,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,kcore,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,0.75,1,0.8,1,0,0.050000000000000044,0.0
karate_club,FastCM+,5,betweenness,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,0.75,1,0.8,1,0,0.050000000000000044,0.0
karate_club,FastCM+,5,betweenness,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,0.75,1,0.8,1,0,0.050000000000000044,0.0
karate_club,FastCM+,5,betweenness,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,betweenness,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,5,random,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,random,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,random,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,5,random,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,5,random,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,MRKC,10,degree,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,degree,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,degree,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,degree,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,degree,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,degree,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,degree,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,degree,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,degree,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,degree,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,degree,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,degree,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,kcore,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,kcore,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,kcore,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,kcore,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,kcore,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,kcore,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,kcore,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,0.75,1,1.0,0,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,0.75,1,1.0,0,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,0.75,1,1.0,0,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.75,1,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.75,1,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.5,2,0.75,1,1,0.25,0.1
karate_club,MRKC,10,betweenness,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,betweenness,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,10,random,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,random,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,random,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,10,random,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,5,5,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,10,random,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,10,0,6,6,0.75,1,0.75,1,0,0.0,0.0
karate_club,FastCM+,10,degree,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,degree,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,degree,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,degree,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,degree,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,degree,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,degree,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,degree,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,degree,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,degree,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,degree,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,degree,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,1,1,1.0,0,0.8,1,-1,-0.19999999999999996,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,3,3,0.75,1,0.6,2,-1,-0.15000000000000002,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,5,5,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
karate_club,FastCM+,10,kcore,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,3,10,6,6,0.5,2,0.4,3,-1,-0.09999999999999998,-0.3333333333333333
